#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
4.666,301.9,57.92,335.8,513.7,166.9,775.7,644.5,359.6,702.0,480.4
4.733,302.6,57.68,335.0,513.3,168.4,775.7,644.3,360.8,701.8,478.7
4.800,303.8,58.40,335.8,514.4,167.4,775.6,643.6,360.9,701.7,479.8
4.866,305.2,58.05,335.7,514.5,167.0,775.7,643.5,360.9,701.6,479.7
4.933,304.2,57.85,335.5,514.3,167.2,776.6,643.8,360.7,701.7,479.3
5.000,304.5,58.07,336.4,513.9,166.8,777.3,644.8,360.9,702.2,478.1
5.066,306.2,58.36,335.9,513.9,166.7,776.4,644.3,360.9,702.1,478.6
5.133,305.8,58.61,336.0,513.7,167.3,775.7,644.8,360.6,701.8,478.9
5.200,305.0,57.66,336.9,513.8,167.4,775.2,644.1,360.8,700.5,478.0
5.266,304.9,57.97,336.3,513.9,167.6,774.1,643.9,360.8,698.7,477.7
5.333,305.1,60.69,336.8,513.0,167.9,772.8,643.5,360.9,699.3,478.1
5.400,305.2,60.06,336.3,512.3,168.9,772.6,643.2,360.9,699.0,478.3
5.466,304.4,59.65,335.6,512.7,169.9,772.7,642.9,360.9,696.0,477.0
5.533,303.6,59.54,335.7,512.8,170.5,772.1,642.3,360.9,695.3,476.4
5.600,303.4,59.00,335.3,512.3,169.6,772.1,643.3,361.4,693.3,476.3
5.666,303.9,58.03,336.5,512.9,169.7,771.2,643.3,360.0,692.7,476.2
5.733,302.6,56.64,337.3,512.1,169.3,769.9,643.7,359.7,692.2,476.6
5.800,302.4,56.77,338.1,512.2,168.1,768.7,644.1,359.1,692.8,476.1
5.866,301.7,56.85,338.7,513.0,167.5,768.3,644.4,358.8,692.5,474.1
5.933,299.8,56.71,338.2,512.5,168.5,768.9,644.6,358.6,691.1,474.1
6.000,298.0,56.77,338.8,513.0,167.6,769.0,644.6,359.1,690.6,474.4
6.066,299.6,57.02,338.7,512.6,167.7,769.5,643.6,359.1,691.0,473.7
6.133,299.4,57.49,339.2,512.6,167.7,769.3,643.4,358.7,691.0,474.7
6.200,299.1,57.11,338.4,512.7,167.3,768.2,643.5,358.9,691.3,475.8
6.266,299.0,56.19,338.9,512.5,167.7,768.3,643.4,358.6,690.5,476.2
6.333,299.7,55.00,339.1,512.3,167.2,768.1,643.6,359.1,691.0,475.1
6.400,298.9,53.91,339.7,513.7,166.8,768.4,644.1,358.3,690.7,475.5
6.466,299.2,55.05,339.1,513.0,166.9,769.4,646.1,358.3,691.9,475.7
6.533,300.6,53.85,339.8,512.0,168.6,769.6,645.8,359.1,693.2,476.1
6.600,301.3,53.49,335.0,516.0,169.1,770.9,645.2,358.5,693.2,475.0
6.666,301.3,52.87,334.5,516.0,169.3,770.4,645.3,357.9,692.9,475.5
6.733,299.5,53.84,334.3,515.0,169.1,770.7,645.5,358.2,693.0,475.1
6.800,300.2,54.22,334.3,515.0,169.9,771.3,645.4,357.2,693.5,474.3
6.866,299.8,53.64,334.7,514.9,171.2,770.3,646.3,357.9,693.2,474.9
6.933,300.1,54.19,334.5,515.6,171.6,770.3,646.1,358.3,692.8,474.8
7.000,300.5,54.19,335.1,516.4,171.2,771.0,645.5,357.9,692.0,475.7
7.066,300.3,53.85,334.8,516.2,171.8,770.1,646.1,358.2,690.8,475.3
7.133,299.8,53.00,336.0,516.4,170.1,769.1,645.8,357.5,691.0,475.5
7.200,301.6,53.09,335.0,516.2,169.8,768.5,645.2,356.8,691.8,474.8
7.266,301.8,52.98,335.1,515.1,170.6,769.4,646.3,356.5,693.4,474.6
7.333,301.6,53.06,334.4,515.3,170.4,769.4,646.4,356.8,692.6,473.7
7.400,301.5,54.04,332.5,515.3,171.0,770.7,645.5,357.3,693.0,473.7
7.466,301.0,54.20,332.0,515.2,171.5,771.5,645.1,357.2,692.9,473.9
7.533,301.2,53.93,330.5,514.7,170.9,770.9,644.4,357.2,692.9,473.2
7.599,301.1,53.92,331.0,514.7,171.0,770.9,644.0,357.5,693.4,472.8
7.666,299.8,53.93,331.0,514.2,171.3,769.5,645.1,357.6,693.3,472.9
7.733,300.1,53.11,330.5,513.5,170.9,769.6,645.2,358.0,693.6,472.5
7.799,300.8,52.94,330.8,512.3,170.5,770.0,645.7,358.0,694.3,471.8
7.866,300.3,51.99,330.7,511.3,170.8,769.9,645.3,357.8,694.2,471.9
7.933,301.0,52.24,330.4,509.7,169.5,770.2,645.0,357.3,694.9,471.0
7.999,300.7,52.07,330.4,509.7,167.9,769.9,645.4,355.6,695.7,471.4
8.066,299.8,51.68,329.8,510.4,167.4,770.2,644.7,354.8,695.9,471.7
8.133,299.9,51.80,331.1,510.6,167.0,769.0,643.5,354.5,695.7,471.2
8.199,299.5,49.73,331.1,511.2,166.3,768.0,644.0,354.1,696.1,471.7
8.266,300.7,50.02,331.6,510.2,165.1,768.1,643.5,354.2,696.7,471.3
8.333,301.4,50.24,332.1,510.0,165.7,767.3,642.4,353.8,697.0,470.8
8.399,300.7,49.81,331.2,509.3,166.0,767.4,642.0,354.0,697.2,471.9
8.466,300.9,49.09,330.9,509.1,165.9,767.6,641.8,354.4,695.5,471.7
8.533,301.1,49.30,330.7,509.1,165.7,767.2,641.3,354.4,695.5,471.2
8.599,300.0,48.00,329.8,509.0,164.7,765.8,641.4,352.9,696.5,470.1
8.666,300.5,46.71,331.2,508.6,164.0,766.0,641.4,352.5,696.8,470.1
8.733,299.7,47.83,330.9,507.4,164.6,766.5,641.3,351.3,696.7,468.9
8.799,300.3,47.13,330.6,507.2,165.2,766.5,640.6,350.4,696.1,468.1
8.866,301.7,46.90,330.1,506.3,163.1,766.8,640.7,349.9,695.9,468.3
8.933,302.0,47.12,330.4,507.2,162.7,767.3,639.8,349.3,695.4,467.3
8.999,300.6,46.51,329.7,507.4,162.6,767.1,638.7,348.2,693.0,466.7
9.066,299.7,46.71,328.9,506.4,163.4,766.9,639.9,347.2,691.6,466.6
9.133,300.3,48.32,330.0,505.3,162.5,765.6,639.9,346.8,692.0,467.3
9.199,300.2,48.34,330.8,504.3,163.4,765.8,640.4,347.7,691.5,467.1
9.266,299.2,49.16,331.8,505.1,164.4,765.4,639.5,347.0,692.0,466.9
9.333,297.6,49.60,331.3,504.2,163.2,765.2,639.4,347.4,692.0,466.3
9.399,297.5,50.13,332.1,503.9,163.7,765.0,639.1,347.0,691.1,465.4
9.466,295.9,48.80,332.1,504.5,165.0,764.0,639.2,346.8,689.6,465.0
9.533,295.6,47.93,331.1,504.4,164.6,763.3,639.6,346.5,690.9,464.2
9.599,295.6,49.58,330.6,503.4,166.1,763.0,640.0,346.9,691.7,464.9
9.666,295.7,49.80,329.6,502.4,165.9,762.0,640.1,346.0,691.7,464.8
9.733,296.2,49.28,330.3,502.7,165.6,761.6,639.7,346.2,690.9,465.8
9.799,295.6,47.77,329.7,504.3,164.9,761.8,639.4,345.9,690.4,465.7
