#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
1.932999999999999829e+00,3.858999999999999773e+02,5.172999999999999545e+02,7.812999999999999545e+02,1.933000000000000114e+02,6.542000000000000455e+02,9.292000000000000455e+02,5.435000000000000142e+01,6.768000000000000682e+01
1.998999999999995225e+00,3.858999999999999773e+02,5.177999999999999545e+02,7.810000000000000000e+02,1.940999999999999943e+02,6.542999999999999545e+02,9.292999999999999545e+02,5.482000000000000028e+01,6.748999999999999488e+01
2.065999999999995396e+00,3.853999999999999773e+02,5.183999999999999773e+02,7.810000000000000000e+02,1.940999999999999943e+02,6.541000000000000227e+02,9.292000000000000455e+02,5.418999999999999773e+01,6.764000000000000057e+01
2.132999999999995566e+00,3.858000000000000114e+02,5.183999999999999773e+02,7.811000000000000227e+02,1.939000000000000057e+02,6.541000000000000227e+02,9.290000000000000000e+02,5.464999999999999858e+01,6.729999999999999716e+01
2.198999999999998067e+00,3.860000000000000000e+02,5.182999999999999545e+02,7.807000000000000455e+02,1.933000000000000114e+02,6.540000000000000000e+02,9.298999999999999773e+02,5.497999999999999687e+01,6.737999999999999545e+01
2.265999999999998238e+00,3.856000000000000227e+02,5.185000000000000000e+02,7.810000000000000000e+02,1.935000000000000000e+02,6.547000000000000455e+02,9.301000000000000227e+02,5.492000000000000171e+01,6.706999999999999318e+01
2.332999999999998408e+00,3.858999999999999773e+02,5.182000000000000455e+02,7.813999999999999773e+02,1.935000000000000000e+02,6.553999999999999773e+02,9.303999999999999773e+02,5.447999999999999687e+01,6.734999999999999432e+01
2.399000000000000909e+00,3.856999999999999886e+02,5.185000000000000000e+02,7.811000000000000227e+02,1.935999999999999943e+02,6.551000000000000227e+02,9.302999999999999545e+02,5.464000000000000057e+01,6.743999999999999773e+01
2.466000000000001080e+00,3.860000000000000000e+02,5.182999999999999545e+02,7.810000000000000000e+02,1.935999999999999943e+02,6.552000000000000455e+02,9.302999999999999545e+02,5.449000000000000199e+01,6.678000000000000114e+01
2.533000000000001251e+00,3.856999999999999886e+02,5.185000000000000000e+02,7.813999999999999773e+02,1.934000000000000057e+02,6.552000000000000455e+02,9.303999999999999773e+02,5.489999999999999858e+01,6.734000000000000341e+01
2.598999999999996646e+00,3.858000000000000114e+02,5.181000000000000227e+02,7.807999999999999545e+02,1.936999999999999886e+02,6.551000000000000227e+02,9.302999999999999545e+02,5.478000000000000114e+01,6.776000000000000512e+01
2.665999999999996817e+00,3.863000000000000114e+02,5.183999999999999773e+02,7.812000000000000455e+02,1.934000000000000057e+02,6.553999999999999773e+02,9.303999999999999773e+02,5.439999999999999858e+01,6.709999999999999432e+01
2.732999999999996987e+00,3.866999999999999886e+02,5.182000000000000455e+02,7.811000000000000227e+02,1.940999999999999943e+02,6.552000000000000455e+02,9.301000000000000227e+02,5.464000000000000057e+01,6.765000000000000568e+01
2.798999999999999488e+00,3.866000000000000227e+02,5.182000000000000455e+02,7.811000000000000227e+02,1.940999999999999943e+02,6.553999999999999773e+02,9.305000000000000000e+02,5.452000000000000313e+01,6.759999999999999432e+01
2.865999999999999659e+00,3.868000000000000114e+02,5.185000000000000000e+02,7.817999999999999545e+02,1.938000000000000114e+02,6.551000000000000227e+02,9.298999999999999773e+02,5.500000000000000000e+01,6.665999999999999659e+01
2.932999999999999829e+00,3.870000000000000000e+02,5.182999999999999545e+02,7.818999999999999773e+02,1.934000000000000057e+02,6.552999999999999545e+02,9.307000000000000455e+02,5.478000000000000114e+01,6.681000000000000227e+01
2.998999999999995225e+00,3.866999999999999886e+02,5.186000000000000227e+02,7.817000000000000455e+02,1.933000000000000114e+02,6.552999999999999545e+02,9.312000000000000455e+02,5.439000000000000057e+01,6.650000000000000000e+01
3.065999999999995396e+00,3.866000000000000227e+02,5.187000000000000455e+02,7.820000000000000000e+02,1.934000000000000057e+02,6.548999999999999773e+02,9.310000000000000000e+02,5.497999999999999687e+01,6.709999999999999432e+01
3.132999999999995566e+00,3.866999999999999886e+02,5.190000000000000000e+02,7.820000000000000000e+02,1.933000000000000114e+02,6.552000000000000455e+02,9.312999999999999545e+02,5.461999999999999744e+01,6.762999999999999545e+01
3.198999999999998067e+00,3.865000000000000000e+02,5.192000000000000455e+02,7.822000000000000455e+02,1.935999999999999943e+02,6.550000000000000000e+02,9.317000000000000455e+02,5.475000000000000000e+01,6.725000000000000000e+01
3.265999999999998238e+00,3.863999999999999773e+02,5.195000000000000000e+02,7.822000000000000455e+02,1.934000000000000057e+02,6.552000000000000455e+02,9.318999999999999773e+02,5.495000000000000284e+01,6.765999999999999659e+01
3.332999999999998408e+00,3.866999999999999886e+02,5.196000000000000227e+02,7.827000000000000455e+02,1.931999999999999886e+02,6.552000000000000455e+02,9.321000000000000227e+02,5.468999999999999773e+01,6.778000000000000114e+01
3.399000000000000909e+00,3.866999999999999886e+02,5.196000000000000227e+02,7.827999999999999545e+02,1.934000000000000057e+02,6.552000000000000455e+02,9.322000000000000455e+02,5.529999999999999716e+01,6.806000000000000227e+01
3.466000000000001080e+00,3.871000000000000227e+02,5.191000000000000227e+02,7.832999999999999545e+02,1.935000000000000000e+02,6.551000000000000227e+02,9.320000000000000000e+02,5.575999999999999801e+01,6.864000000000000057e+01
3.533000000000001251e+00,3.871999999999999886e+02,5.192999999999999545e+02,7.831000000000000227e+02,1.934000000000000057e+02,6.557999999999999545e+02,9.322000000000000455e+02,5.542000000000000171e+01,6.868000000000000682e+01
3.598999999999996646e+00,3.875000000000000000e+02,5.192000000000000455e+02,7.827000000000000455e+02,1.935000000000000000e+02,6.561000000000000227e+02,9.322000000000000455e+02,5.584000000000000341e+01,6.835999999999999943e+01
3.665999999999996817e+00,3.878999999999999773e+02,5.188999999999999773e+02,7.828999999999999773e+02,1.935000000000000000e+02,6.565000000000000000e+02,9.323999999999999773e+02,5.571999999999999886e+01,6.834000000000000341e+01
3.732999999999996987e+00,3.880000000000000000e+02,5.188999999999999773e+02,7.831000000000000227e+02,1.935999999999999943e+02,6.562999999999999545e+02,9.321000000000000227e+02,5.570000000000000284e+01,6.834000000000000341e+01
3.798999999999999488e+00,3.880000000000000000e+02,5.183999999999999773e+02,7.832000000000000455e+02,1.930000000000000000e+02,6.562999999999999545e+02,9.322000000000000455e+02,5.638000000000000256e+01,6.831000000000000227e+01
3.865999999999999659e+00,3.881000000000000227e+02,5.182000000000000455e+02,7.832999999999999545e+02,1.925000000000000000e+02,6.567000000000000455e+02,9.320000000000000000e+02,5.643999999999999773e+01,6.848999999999999488e+01
3.932999999999999829e+00,3.878000000000000114e+02,5.181000000000000227e+02,7.831000000000000227e+02,1.921999999999999886e+02,6.571000000000000227e+02,9.322999999999999545e+02,5.674000000000000199e+01,6.854999999999999716e+01
3.998999999999995225e+00,3.875000000000000000e+02,5.183999999999999773e+02,7.832000000000000455e+02,1.929000000000000057e+02,6.566000000000000227e+02,9.318999999999999773e+02,5.647999999999999687e+01,6.826999999999999602e+01
4.065999999999995396e+00,3.876000000000000227e+02,5.182000000000000455e+02,7.830000000000000000e+02,1.925000000000000000e+02,6.570000000000000000e+02,9.320000000000000000e+02,5.660999999999999943e+01,6.834999999999999432e+01
4.132999999999995566e+00,3.875000000000000000e+02,5.182999999999999545e+02,7.827999999999999545e+02,1.924000000000000057e+02,6.568999999999999773e+02,9.318999999999999773e+02,5.647999999999999687e+01,6.818999999999999773e+01
4.198999999999998067e+00,3.873000000000000114e+02,5.185000000000000000e+02,7.826000000000000227e+02,1.923000000000000114e+02,6.567999999999999545e+02,9.321000000000000227e+02,5.652000000000000313e+01,6.857999999999999829e+01
4.265999999999998238e+00,3.871999999999999886e+02,5.182000000000000455e+02,7.830000000000000000e+02,1.915000000000000000e+02,6.567999999999999545e+02,9.318999999999999773e+02,5.617000000000000171e+01,6.868999999999999773e+01
4.332999999999998408e+00,3.873000000000000114e+02,5.177000000000000455e+02,7.828999999999999773e+02,1.915000000000000000e+02,6.570000000000000000e+02,9.322000000000000455e+02,5.650000000000000000e+01,6.843999999999999773e+01
4.399000000000000909e+00,3.873000000000000114e+02,5.177000000000000455e+02,7.827999999999999545e+02,1.916999999999999886e+02,6.562999999999999545e+02,9.318999999999999773e+02,5.682000000000000028e+01,6.809000000000000341e+01
4.466000000000001080e+00,3.876000000000000227e+02,5.172999999999999545e+02,7.832999999999999545e+02,1.915999999999999943e+02,6.558999999999999773e+02,9.325000000000000000e+02,5.660999999999999943e+01,6.798999999999999488e+01
4.533000000000001251e+00,3.876000000000000227e+02,5.171000000000000227e+02,7.827999999999999545e+02,1.918000000000000114e+02,6.558999999999999773e+02,9.330000000000000000e+02,5.660000000000000142e+01,6.790999999999999659e+01
4.598999999999996646e+00,3.876999999999999886e+02,5.173999999999999773e+02,7.823999999999999773e+02,1.915999999999999943e+02,6.558999999999999773e+02,9.327000000000000455e+02,5.725999999999999801e+01,6.825000000000000000e+01
4.665999999999996817e+00,3.873000000000000114e+02,5.177000000000000455e+02,7.820000000000000000e+02,1.915000000000000000e+02,6.558999999999999773e+02,9.327000000000000455e+02,5.782999999999999829e+01,6.898999999999999488e+01
4.732999999999996987e+00,3.876000000000000227e+02,5.173999999999999773e+02,7.821000000000000227e+02,1.916999999999999886e+02,6.561000000000000227e+02,9.327999999999999545e+02,5.778999999999999915e+01,6.895000000000000284e+01
4.798999999999999488e+00,3.873999999999999773e+02,5.176000000000000227e+02,7.820000000000000000e+02,1.915000000000000000e+02,6.560000000000000000e+02,9.327000000000000455e+02,5.817999999999999972e+01,6.915999999999999659e+01
4.865999999999999659e+00,3.878000000000000114e+02,5.178999999999999773e+02,7.821000000000000227e+02,1.916999999999999886e+02,6.557999999999999545e+02,9.325000000000000000e+02,5.842000000000000171e+01,6.887999999999999545e+01
4.932999999999999829e+00,3.871999999999999886e+02,5.182999999999999545e+02,7.822000000000000455e+02,1.911999999999999886e+02,6.558999999999999773e+02,9.327999999999999545e+02,5.857000000000000028e+01,6.870999999999999375e+01
4.998999999999995225e+00,3.873000000000000114e+02,5.182999999999999545e+02,7.821000000000000227e+02,1.915999999999999943e+02,6.561000000000000227e+02,9.327000000000000455e+02,5.864000000000000057e+01,6.901000000000000512e+01
5.065999999999995396e+00,3.875000000000000000e+02,5.182999999999999545e+02,7.825000000000000000e+02,1.915000000000000000e+02,6.558999999999999773e+02,9.325000000000000000e+02,5.818999999999999773e+01,6.928000000000000114e+01
5.132999999999995566e+00,3.873999999999999773e+02,5.182999999999999545e+02,7.823999999999999773e+02,1.915000000000000000e+02,6.556000000000000227e+02,9.315000000000000000e+02,5.832000000000000028e+01,6.976999999999999602e+01
5.198999999999998067e+00,3.873000000000000114e+02,5.187000000000000455e+02,7.822000000000000455e+02,1.915999999999999943e+02,6.551000000000000227e+02,9.320000000000000000e+02,5.792000000000000171e+01,6.968999999999999773e+01
5.265999999999998238e+00,3.876999999999999886e+02,5.186000000000000227e+02,7.818999999999999773e+02,1.926999999999999886e+02,6.553999999999999773e+02,9.322000000000000455e+02,5.761999999999999744e+01,6.923999999999999488e+01
5.332999999999998408e+00,3.878000000000000114e+02,5.182999999999999545e+02,7.822000000000000455e+02,1.925999999999999943e+02,6.552999999999999545e+02,9.321000000000000227e+02,5.775000000000000000e+01,6.973999999999999488e+01
5.399000000000000909e+00,3.875000000000000000e+02,5.182999999999999545e+02,7.822999999999999545e+02,1.923000000000000114e+02,6.553999999999999773e+02,9.322000000000000455e+02,5.760000000000000142e+01,6.970999999999999375e+01
5.466000000000001080e+00,3.878000000000000114e+02,5.180000000000000000e+02,7.822000000000000455e+02,1.925000000000000000e+02,6.557999999999999545e+02,9.322999999999999545e+02,5.765999999999999659e+01,6.960999999999999943e+01
5.533000000000001251e+00,3.878999999999999773e+02,5.181000000000000227e+02,7.821000000000000227e+02,1.925999999999999943e+02,6.557999999999999545e+02,9.321000000000000227e+02,5.767000000000000171e+01,6.985999999999999943e+01
5.598999999999996646e+00,3.878999999999999773e+02,5.180000000000000000e+02,7.822000000000000455e+02,1.929000000000000057e+02,6.561000000000000227e+02,9.318999999999999773e+02,5.747999999999999687e+01,6.954999999999999716e+01
5.665999999999996817e+00,3.878999999999999773e+02,5.178999999999999773e+02,7.822999999999999545e+02,1.928000000000000114e+02,6.561000000000000227e+02,9.317999999999999545e+02,5.760999999999999943e+01,6.948999999999999488e+01
5.732999999999996987e+00,3.881000000000000227e+02,5.180000000000000000e+02,7.822000000000000455e+02,1.925000000000000000e+02,6.560000000000000000e+02,9.318999999999999773e+02,5.703000000000000114e+01,6.984999999999999432e+01
5.798999999999999488e+00,3.878999999999999773e+02,5.181000000000000227e+02,7.826000000000000227e+02,1.918000000000000114e+02,6.560000000000000000e+02,9.313999999999999773e+02,5.800000000000000000e+01,6.990000000000000568e+01
5.865999999999999659e+00,3.880000000000000000e+02,5.178999999999999773e+02,7.830000000000000000e+02,1.918000000000000114e+02,6.560000000000000000e+02,9.310000000000000000e+02,5.854999999999999716e+01,6.928000000000000114e+01
5.931999999999995055e+00,3.876999999999999886e+02,5.182999999999999545e+02,7.827000000000000455e+02,1.923000000000000114e+02,6.561000000000000227e+02,9.312000000000000455e+02,5.879999999999999716e+01,6.984999999999999432e+01
5.998999999999995225e+00,3.873999999999999773e+02,5.182000000000000455e+02,7.832000000000000455e+02,1.930000000000000000e+02,6.561000000000000227e+02,9.313999999999999773e+02,5.882000000000000028e+01,6.971999999999999886e+01
6.065999999999995396e+00,3.881999999999999886e+02,5.182000000000000455e+02,7.837999999999999545e+02,1.931999999999999886e+02,6.557999999999999545e+02,9.310000000000000000e+02,5.835000000000000142e+01,7.007999999999999829e+01
6.131999999999997897e+00,3.880000000000000000e+02,5.185000000000000000e+02,7.850000000000000000e+02,1.939000000000000057e+02,6.562000000000000455e+02,9.311000000000000227e+02,5.902000000000000313e+01,7.059000000000000341e+01
6.198999999999998067e+00,3.876000000000000227e+02,5.186000000000000227e+02,7.848999999999999773e+02,1.936999999999999886e+02,6.562999999999999545e+02,9.312000000000000455e+02,5.907999999999999829e+01,7.051000000000000512e+01
6.265999999999998238e+00,3.876000000000000227e+02,5.187000000000000455e+02,7.846000000000000227e+02,1.930999999999999943e+02,6.557000000000000455e+02,9.306000000000000227e+02,5.927000000000000313e+01,7.079999999999999716e+01
6.332000000000000739e+00,3.876999999999999886e+02,5.188999999999999773e+02,7.847999999999999545e+02,1.931999999999999886e+02,6.558999999999999773e+02,9.308999999999999773e+02,5.953000000000000114e+01,7.009999999999999432e+01
6.399000000000000909e+00,3.878999999999999773e+02,5.187999999999999545e+02,7.848999999999999773e+02,1.933000000000000114e+02,6.561000000000000227e+02,9.310000000000000000e+02,5.927000000000000313e+01,7.023000000000000398e+01
6.466000000000001080e+00,3.878000000000000114e+02,5.192000000000000455e+02,7.850000000000000000e+02,1.934000000000000057e+02,6.562000000000000455e+02,9.311000000000000227e+02,5.917999999999999972e+01,7.048000000000000398e+01
6.531999999999996476e+00,3.880000000000000000e+02,5.190000000000000000e+02,7.847999999999999545e+02,1.940000000000000000e+02,6.562000000000000455e+02,9.312000000000000455e+02,5.932000000000000028e+01,7.015000000000000568e+01
6.598999999999996646e+00,3.871999999999999886e+02,5.187000000000000455e+02,7.847999999999999545e+02,1.936999999999999886e+02,6.561000000000000227e+02,9.313999999999999773e+02,5.967000000000000171e+01,7.004000000000000625e+01
6.665999999999996817e+00,3.875000000000000000e+02,5.175000000000000000e+02,7.852999999999999545e+02,1.935999999999999943e+02,6.558999999999999773e+02,9.312999999999999545e+02,5.961999999999999744e+01,7.034999999999999432e+01
6.731999999999999318e+00,3.876000000000000227e+02,5.175000000000000000e+02,7.850000000000000000e+02,1.935999999999999943e+02,6.560000000000000000e+02,9.308999999999999773e+02,5.896999999999999886e+01,7.034000000000000341e+01
6.798999999999999488e+00,3.873999999999999773e+02,5.177000000000000455e+02,7.846000000000000227e+02,1.935999999999999943e+02,6.561000000000000227e+02,9.311000000000000227e+02,5.852000000000000313e+01,7.015000000000000568e+01
6.865999999999999659e+00,3.878000000000000114e+02,5.177999999999999545e+02,7.845000000000000000e+02,1.943000000000000114e+02,6.560000000000000000e+02,9.307999999999999545e+02,5.859000000000000341e+01,7.032999999999999829e+01
6.931999999999995055e+00,3.873000000000000114e+02,5.186000000000000227e+02,7.841000000000000227e+02,1.941999999999999886e+02,6.563999999999999773e+02,9.311000000000000227e+02,5.861999999999999744e+01,6.962000000000000455e+01
6.998999999999995225e+00,3.873999999999999773e+02,5.185000000000000000e+02,7.837999999999999545e+02,1.944000000000000057e+02,6.566000000000000227e+02,9.313999999999999773e+02,5.867999999999999972e+01,6.979000000000000625e+01
7.065999999999995396e+00,3.876000000000000227e+02,5.177999999999999545e+02,7.845000000000000000e+02,1.944000000000000057e+02,6.570000000000000000e+02,9.312000000000000455e+02,5.849000000000000199e+01,6.970999999999999375e+01
7.131999999999997897e+00,3.878000000000000114e+02,5.182000000000000455e+02,7.837999999999999545e+02,1.940000000000000000e+02,6.570000000000000000e+02,9.316000000000000227e+02,5.856000000000000227e+01,6.948000000000000398e+01
7.198999999999998067e+00,3.878999999999999773e+02,5.182999999999999545e+02,7.837999999999999545e+02,1.939000000000000057e+02,6.570000000000000000e+02,9.317000000000000455e+02,5.789000000000000057e+01,6.976000000000000512e+01
7.265999999999998238e+00,3.878000000000000114e+02,5.182999999999999545e+02,7.837000000000000455e+02,1.936999999999999886e+02,6.566000000000000227e+02,9.317999999999999545e+02,5.760000000000000142e+01,6.968000000000000682e+01
7.332000000000000739e+00,3.878000000000000114e+02,5.181000000000000227e+02,7.840000000000000000e+02,1.935999999999999943e+02,6.567000000000000455e+02,9.317000000000000455e+02,5.761999999999999744e+01,6.965000000000000568e+01
7.399000000000000909e+00,3.883999999999999773e+02,5.182000000000000455e+02,7.840000000000000000e+02,1.936999999999999886e+02,6.570000000000000000e+02,9.316000000000000227e+02,5.797999999999999687e+01,6.940999999999999659e+01
7.466000000000001080e+00,3.885000000000000000e+02,5.187000000000000455e+02,7.840000000000000000e+02,1.935999999999999943e+02,6.566000000000000227e+02,9.310000000000000000e+02,5.803000000000000114e+01,6.979999999999999716e+01
7.531999999999996476e+00,3.888000000000000114e+02,5.183999999999999773e+02,7.838999999999999773e+02,1.926999999999999886e+02,6.568999999999999773e+02,9.307000000000000455e+02,5.822999999999999687e+01,6.968999999999999773e+01
7.598999999999996646e+00,3.886999999999999886e+02,5.188999999999999773e+02,7.841000000000000227e+02,1.925000000000000000e+02,6.568999999999999773e+02,9.307999999999999545e+02,5.843999999999999773e+01,7.020000000000000284e+01
7.665999999999996817e+00,3.883999999999999773e+02,5.195000000000000000e+02,7.838999999999999773e+02,1.925999999999999943e+02,6.573999999999999773e+02,9.310000000000000000e+02,5.814999999999999858e+01,7.104999999999999716e+01
7.731999999999999318e+00,3.888000000000000114e+02,5.191000000000000227e+02,7.840000000000000000e+02,1.924000000000000057e+02,6.571000000000000227e+02,9.307999999999999545e+02,5.857000000000000028e+01,7.112000000000000455e+01
7.798999999999999488e+00,3.890000000000000000e+02,5.188999999999999773e+02,7.837999999999999545e+02,1.924000000000000057e+02,6.570000000000000000e+02,9.307000000000000455e+02,5.874000000000000199e+01,7.150000000000000000e+01
7.865999999999999659e+00,3.888999999999999773e+02,5.190000000000000000e+02,7.838999999999999773e+02,1.926999999999999886e+02,6.573999999999999773e+02,9.310000000000000000e+02,5.828000000000000114e+01,7.159999999999999432e+01
7.931999999999995055e+00,3.883999999999999773e+02,5.195000000000000000e+02,7.837000000000000455e+02,1.929000000000000057e+02,6.572000000000000455e+02,9.312000000000000455e+02,5.832999999999999829e+01,7.145999999999999375e+01
7.998999999999995225e+00,3.885000000000000000e+02,5.193999999999999773e+02,7.843999999999999773e+02,1.926999999999999886e+02,6.571000000000000227e+02,9.308999999999999773e+02,5.822999999999999687e+01,7.146999999999999886e+01
8.065999999999995396e+00,3.888000000000000114e+02,5.192000000000000455e+02,7.842999999999999545e+02,1.925999999999999943e+02,6.570000000000000000e+02,9.307999999999999545e+02,5.874000000000000199e+01,7.093999999999999773e+01
8.131999999999997897e+00,3.886999999999999886e+02,5.192999999999999545e+02,7.846000000000000227e+02,1.925000000000000000e+02,6.570000000000000000e+02,9.310000000000000000e+02,5.860000000000000142e+01,7.115999999999999659e+01
8.198999999999998067e+00,3.888999999999999773e+02,5.191000000000000227e+02,7.850000000000000000e+02,1.928000000000000114e+02,6.568999999999999773e+02,9.307999999999999545e+02,5.882999999999999829e+01,7.154999999999999716e+01
8.265999999999998238e+00,3.886000000000000227e+02,5.186000000000000227e+02,7.848999999999999773e+02,1.924000000000000057e+02,6.571000000000000227e+02,9.308999999999999773e+02,5.829999999999999716e+01,7.151999999999999602e+01
8.332000000000000739e+00,3.886999999999999886e+02,5.190000000000000000e+02,7.851000000000000227e+02,1.928000000000000114e+02,6.568999999999999773e+02,9.308999999999999773e+02,5.856000000000000227e+01,7.165000000000000568e+01
8.399000000000000909e+00,3.885000000000000000e+02,5.195000000000000000e+02,7.851000000000000227e+02,1.925999999999999943e+02,6.572000000000000455e+02,9.305000000000000000e+02,5.853999999999999915e+01,7.168000000000000682e+01
