#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
4.666,678.5,969.9,213.9,644.4,123.6,408.9,835.0,591.5,822.9,61.77
4.733,677.2,969.4,214.2,644.3,123.6,409.6,834.9,592.0,823.0,60.40
4.800,677.0,968.7,214.1,644.4,124.6,408.8,834.9,592.6,823.2,60.46
4.866,676.9,968.7,214.6,644.5,124.5,408.4,835.0,593.1,823.0,60.41
4.933,678.5,969.5,215.3,644.8,125.2,408.9,835.3,593.8,822.6,59.83
5.000,679.1,969.3,216.0,645.6,125.4,408.3,835.6,593.6,821.8,58.56
5.066,679.5,968.6,215.3,643.9,124.5,408.6,836.6,594.5,822.7,58.71
5.133,679.6,968.2,216.7,645.6,123.4,408.7,837.1,594.0,822.1,58.58
5.200,680.6,968.6,215.9,645.1,124.4,408.9,837.1,595.2,823.3,58.05
5.266,681.5,969.1,216.4,644.7,124.4,408.1,836.6,596.9,823.4,58.80
5.333,682.4,969.5,215.6,645.3,124.4,408.5,836.2,596.5,822.7,58.35
5.400,681.9,968.3,215.5,645.7,124.7,409.4,836.3,596.8,823.2,59.31
5.466,681.2,967.9,216.0,646.1,124.9,410.6,835.3,597.2,822.8,59.39
5.533,680.8,968.4,215.6,646.1,125.2,411.3,834.5,596.5,824.0,60.65
5.600,681.2,968.8,214.2,647.0,125.0,412.8,834.7,597.3,824.6,59.87
5.666,679.5,969.4,213.6,645.9,125.5,413.5,835.1,596.9,824.8,59.60
5.733,680.7,968.7,212.8,646.6,126.1,414.5,835.7,598.0,824.9,59.73
5.800,680.5,968.3,213.3,647.2,125.4,414.2,835.9,598.4,825.7,60.52
5.866,680.7,968.2,215.1,646.5,124.2,414.8,835.9,597.0,826.2,61.59
5.933,680.8,969.0,214.3,647.3,125.1,415.6,836.8,597.6,825.5,62.74
6.000,681.0,969.6,213.0,646.8,125.2,415.6,836.9,597.5,825.3,62.60
6.066,680.1,969.6,213.7,646.8,125.4,415.3,836.2,598.1,826.3,62.26
6.133,679.5,971.2,214.0,646.0,125.2,414.8,834.6,597.8,827.2,63.93
6.200,679.4,971.1,214.2,644.8,124.9,414.3,835.6,599.8,825.9,63.39
6.266,679.3,971.5,214.6,644.2,125.9,415.0,836.6,599.1,825.8,63.94
6.333,679.0,970.7,214.3,644.6,126.2,415.8,836.2,598.1,824.9,62.75
6.400,678.9,970.7,214.5,644.8,126.5,415.2,835.9,598.6,824.0,62.54
6.466,679.3,970.5,215.2,646.5,126.5,415.8,835.3,598.9,823.8,62.66
6.533,678.9,970.7,215.1,646.1,127.1,415.1,834.6,600.5,825.5,63.57
6.600,679.4,971.3,216.2,644.4,126.6,415.8,834.6,600.6,826.2,64.31
6.666,679.2,971.0,215.4,644.4,125.8,415.9,835.2,599.6,826.9,64.99
6.733,679.2,970.5,214.6,644.7,125.7,414.9,835.7,600.3,825.2,65.04
6.800,678.8,970.5,213.9,646.3,126.0,415.3,836.6,600.5,825.4,66.17
6.866,678.6,971.0,214.1,646.1,125.9,415.3,836.6,599.7,826.1,65.78
6.933,680.1,970.5,212.8,645.5,126.5,415.9,836.5,599.7,827.3,65.70
7.000,680.3,970.5,213.3,646.3,126.2,415.9,837.1,599.6,828.1,67.36
7.066,679.8,969.7,214.1,647.0,127.0,421.0,837.1,599.3,828.0,68.00
7.133,679.6,971.3,214.2,647.3,125.5,419.5,836.2,600.8,827.0,69.00
7.200,679.8,970.0,214.2,647.2,126.1,420.5,836.2,601.2,827.8,70.10
7.266,680.2,969.9,215.1,647.6,126.9,420.3,837.2,599.7,827.5,68.35
