#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
4.666,713.1,440.9,462.6,540.9,770.8,136.5,893.4,909.3,973.8,991.0
4.733,712.8,440.3,463.3,541.5,771.9,136.9,893.6,909.4,974.7,989.3
4.800,712.5,440.3,462.8,540.6,772.7,137.3,893.3,909.5,974.5,991.7
4.866,712.1,440.4,462.9,541.6,772.5,138.4,893.8,910.8,975.3,992.1
4.933,712.1,439.9,464.1,542.2,772.8,137.8,893.5,910.4,977.1,991.4
5.000,711.0,440.0,463.5,543.0,773.4,138.7,892.5,910.8,977.1,991.3
5.066,711.7,442.6,462.4,542.0,774.3,140.1,892.3,910.7,975.8,990.3
5.133,712.5,443.2,464.2,542.0,772.8,140.7,893.0,912.5,976.0,990.8
5.200,710.7,443.8,462.7,542.6,772.6,139.2,893.4,910.8,976.3,991.6
5.266,709.6,441.6,462.6,542.7,772.8,138.6,893.3,908.0,976.4,992.2
5.333,707.4,440.3,462.7,542.7,771.3,138.3,892.5,908.3,976.7,991.4
5.400,707.6,441.0,463.6,543.5,772.6,137.8,893.6,906.5,976.5,991.4
5.466,707.1,441.1,464.0,543.8,772.4,137.6,892.3,908.5,976.2,992.5
5.533,706.1,440.4,464.9,544.9,772.8,137.2,890.1,907.1,975.7,990.5
5.600,705.3,439.4,465.1,545.6,772.9,137.1,890.1,908.2,976.3,991.3
5.666,706.3,438.2,466.1,547.2,774.0,137.7,891.6,909.4,976.8,989.9
5.733,705.3,438.0,466.4,548.0,772.4,136.9,888.8,910.4,976.6,989.8
5.800,706.7,439.4,467.0,548.0,773.2,135.4,889.0,909.2,975.7,992.2
5.866,707.0,437.9,468.3,548.9,772.9,135.4,889.1,908.7,976.7,990.9
5.933,707.1,437.8,467.8,548.7,773.4,136.0,889.4,908.8,976.3,990.7
6.000,705.9,439.0,469.7,549.9,772.5,135.9,889.6,908.0,976.2,990.6
6.066,706.3,440.0,467.4,550.9,773.5,135.1,885.5,906.0,975.8,991.2
6.133,705.8,439.5,467.7,548.0,775.4,136.1,884.4,905.4,975.0,990.8
6.200,706.1,439.4,467.1,548.1,776.8,135.7,884.6,904.5,975.7,989.8
6.266,705.5,439.6,466.0,547.2,777.0,135.6,884.0,904.0,976.2,989.3
6.333,706.0,440.1,465.1,547.5,777.5,134.6,883.2,903.7,975.5,989.9
6.400,706.7,440.7,463.8,546.5,778.2,134.3,884.3,904.6,975.2,991.2
6.466,706.3,441.9,464.3,547.2,779.0,134.1,884.2,907.3,975.1,991.5
6.533,706.3,441.3,465.0,548.1,779.6,136.1,884.3,907.0,974.4,992.7
6.600,707.1,440.8,464.6,547.4,779.7,136.4,884.3,907.5,974.1,993.0
6.666,709.2,440.0,464.6,548.0,780.2,135.9,885.0,907.7,974.1,992.6
6.733,710.3,439.7,464.1,548.2,780.5,137.1,884.2,908.6,974.2,993.1
6.800,709.3,439.4,462.3,548.4,779.7,137.3,884.5,908.9,975.6,994.8
6.866,708.2,436.5,462.8,550.0,779.1,137.7,886.4,908.4,976.9,994.0
6.933,709.3,435.9,462.9,550.1,779.5,136.4,885.8,906.9,976.2,992.8
7.000,706.7,438.2,462.9,551.5,778.4,135.5,887.0,907.5,975.7,992.8
7.066,705.7,435.5,462.1,552.5,781.3,135.4,889.0,909.3,973.9,991.9
7.133,706.4,435.3,463.7,552.8,780.7,134.9,889.7,908.7,974.1,990.6
7.200,705.7,434.7,464.1,552.0,780.3,134.3,889.1,911.6,975.1,990.0
7.266,707.1,435.7,463.3,552.7,780.2,134.1,889.8,912.1,975.7,991.1
7.333,708.3,435.3,461.9,554.0,780.2,135.2,890.3,912.1,973.9,990.2
7.400,708.7,435.4,462.7,554.9,778.8,134.4,890.8,912.4,974.9,991.1
7.466,709.6,436.0,461.3,556.3,778.1,133.8,891.7,913.5,976.0,992.4
7.533,708.1,435.8,461.7,557.1,778.6,132.5,891.6,913.6,977.1,991.6
7.599,707.9,436.5,460.4,556.9,778.4,132.5,893.0,915.5,977.2,993.0
