#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
5.466,551.0,591.9,605.1,809.5,288.4,875.1,1.074E3,453.8
5.533,551.7,592.0,605.1,808.7,288.2,874.6,1.073E3,453.0
5.600,550.2,591.4,604.3,809.8,286.9,875.3,1.071E3,454.2
5.666,550.8,591.4,603.9,808.4,286.6,875.2,1.072E3,455.4
5.733,549.1,589.8,604.3,808.2,286.8,876.9,1.071E3,454.7
5.800,549.7,591.3,604.3,808.2,285.9,877.3,1.071E3,453.3
5.866,550.1,590.5,604.1,807.7,285.4,877.2,1.071E3,453.7
5.933,550.1,588.6,603.3,807.7,286.3,877.0,1.071E3,453.7
6.000,548.9,587.6,603.8,809.9,285.4,877.0,1.070E3,453.9
6.066,549.4,588.6,602.0,809.3,284.3,877.8,1.069E3,454.1
6.133,549.8,588.6,601.2,808.0,283.8,876.8,1.067E3,455.2
6.200,550.5,589.1,601.8,807.1,283.9,876.6,1.066E3,456.5
6.266,549.9,588.6,602.7,808.3,283.3,875.3,1.067E3,456.7
6.333,549.7,588.4,602.4,806.9,282.9,875.9,1.068E3,455.9
6.400,550.3,589.3,602.3,805.4,283.7,874.3,1.067E3,455.9
6.466,550.6,589.6,601.2,805.9,284.1,874.1,1.067E3,457.4
6.533,552.0,590.1,600.8,805.9,284.6,875.2,1.067E3,457.2
6.600,551.6,590.6,599.4,806.8,286.2,876.7,1.067E3,457.5
6.666,551.2,590.5,599.1,806.6,286.5,876.8,1.066E3,458.4
6.733,552.7,589.5,598.2,806.2,286.6,876.4,1.067E3,458.3
6.800,553.0,589.7,598.3,806.2,285.8,876.8,1.068E3,459.1
6.866,552.7,589.6,597.5,806.1,285.9,876.3,1.069E3,460.1
6.933,550.9,589.7,595.9,805.6,285.5,877.3,1.067E3,461.2
7.000,550.6,589.1,596.5,804.6,285.0,878.2,1.067E3,459.6
7.066,551.6,588.5,596.4,806.4,285.7,879.2,1.066E3,458.8
